,Open,High,Low,Close,Volume,Date
2024-11-22,383.65514952238664,391.32119446425,381.2276031165482,390.6626892089844,1893000,2024-11-22
2024-11-25,393.1296064597811,400.15679217656793,393.1296064597811,398.68255615234375,4398000,2024-11-25
2024-11-26,396.71693679135177,401.395189044218,394.859414863156,400.82513427734375,1796600,2024-11-26
2024-11-27,401.3853686962363,405.04147565959937,396.31399258618995,396.76611328125,1371900,2024-11-27
2024-11-29,400.33372065362846,404.1274372117414,398.0437537366394,399.1346740722656,1962100,2024-11-29
2024-12-02,400.4614882634188,401.1396392730533,393.9060684948322,395.5965270996094,1548500,2024-12-02
2024-12-03,396.589123006426,398.5646088110625,389.78799783722076,392.4023132324219,1716200,2024-12-03
2024-12-04,391.7241837768746,394.5743674865941,389.3260907261952,392.6480407714844,1193800,2024-12-04
2024-12-05,393.6210708271571,394.5350900853404,387.43909854509934,388.1958923339844,1291400,2024-12-05
2024-12-06,391.3114014477985,392.8740881357672,385.99431957586427,388.2449951171875,1331000,2024-12-06
2024-12-09,395.62597469842035,402.67280586348954,391.59639036757034,392.4023132324219,1739800,2024-12-09
2024-12-10,384.00902206317033,388.67743639850335,378.98677546584923,381.71905517578125,2251000,2024-12-10
2024-12-11,383.77312762281315,384.6281797067758,380.7754964165735,382.1907653808594,1651600,2024-12-11
2024-12-12,382.3676903098235,383.1736132411603,373.6205621341476,374.23974609375,1804600,2024-12-12
2024-12-13,374.0628157940772,376.31349112452637,372.38219517291947,373.974365234375,2034800,2024-12-13
2024-12-16,375.2127372726541,375.7533085113299,371.27163311736564,372.4117126464844,1311100,2024-12-16
2024-12-17,369.57133621408474,372.38222866889697,367.4091112488445,369.34527587890625,2138700,2024-12-17
2024-12-18,372.1954840088153,374.61322280143986,356.79461777126215,357.6398620605469,2820700,2024-12-18
2024-12-19,362.11169512792736,363.2222911025953,353.8264955906469,354.1802978515625,2616700,2024-12-19
2024-12-20,352.3424278281888,365.1093028536955,351.10405990654994,359.7529296875,5142000,2024-12-20
2024-12-23,358.60298703274407,360.0575773461188,355.29087496137174,359.11407470703125,1804900,2024-12-23
2024-12-24,358.19024651370165,361.25665283203125,356.4309830194176,361.25665283203125,886000,2024-12-24
2024-12-26,358.7799085839464,361.17800167296417,357.6201833997159,360.8143615722656,1097900,2024-12-26
2024-12-27,357.14844759942105,361.0895516628648,355.5366017530336,358.5931701660156,1245800,2024-12-27
2024-12-30,354.23926056635776,358.5538724869502,352.5782855438445,356.77496337890625,1422200,2024-12-30
2024-12-31,357.25654656546857,359.48754638875874,355.5857336625714,356.5292663574219,1168100,2024-12-31
2025-01-02,359.2320682803372,362.5146973751699,351.93949981683033,353.59063720703125,1802600,2025-01-02
2025-01-03,355.3793400618985,358.2197159266423,353.3154035848065,357.54156494140625,1390800,2025-01-03
2025-01-06,360.6964450458208,364.4704859942298,356.35234932255486,357.9445495605469,1590700,2025-01-06
2025-01-07,357.8757327146438,359.80205948995655,354.8879391494779,356.76513671875,1607400,2025-01-07
2025-01-08,356.22455748348796,356.64716458927506,351.5561436579697,354.8682556152344,1828800,2025-01-08
2025-01-10,351.6839277177381,353.66925155720077,343.7918515468064,344.97125244140625,2773900,2025-01-10
2025-01-13,346.8975624800782,356.96170097904474,345.75748300196284,356.2737121582031,2746000,2025-01-13
2025-01-14,359.2123404255906,365.61053437504467,358.9076673797507,365.18792724609375,2331700,2025-01-14
2025-01-15,372.62793000620013,373.41417726000316,367.9005186646207,368.450927734375,1984500,2025-01-15
2025-01-16,369.8464774164228,374.868723386514,368.2837909385481,374.0136413574219,1974700,2025-01-16
2025-01-17,378.09246541481303,380.20553135490746,375.43882819200695,379.3897705078125,2605900,2025-01-17
2025-01-21,385.6929753490645,397.11578730701683,385.49567789833304,392.95306396484375,3144500,2025-01-21
2025-01-22,393.2687716360673,395.0443585802731,389.74721946159184,392.2132873535156,1994800,2025-01-22
2025-01-23,391.97650671409775,404.0306463053888,391.8778579897657,400.8839416503906,2587400,2025-01-23
2025-01-24,400.22305416434057,403.84322454676555,399.7791499545646,402.0972595214844,1938200,2025-01-24
2025-01-27,391.79901419444553,394.1171240890776,384.62769943009346,389.6190185546875,2964400,2025-01-27
2025-01-28,388.6917161160733,391.49316527453414,381.23433016246366,384.99261474609375,1788900,2025-01-28
2025-01-29,386.62023135334886,393.93950341410607,385.81135392459424,387.8927307128906,2675800,2025-01-29
